campaign_id,audience,impressions
375138e8-6e89-483f-a607-f62340c5c49d,KY_red,996
24a6c668-aa4c-4597-93bd-c242d2e9618f,OK_pink,929
53c1c769-6793-4ccf-9eb4-d28cf71b4949,WI_pink,653
dac1c482-32f8-4829-b6c3-dca20aeb347c,WA_blue,160
0a0a61bd-b6c9-4c4d-aff6-e232c6af0c5f,NM_white,840
116ab9c2-14c0-49ce-8276-ae3d67d0dbf5,SC_red,508
ceb7d251-2f4a-4277-a2fa-6019fdeaea78,KS_red,513
afe8ab53-ead8-49b5-ab2d-10a58b5afc70,KS_purple,276
35ed3e50-86f0-45df-b907-2a5b59be8261,NY_red,329
3f741d5e-f250-4f33-b3a8-2596afe04995,WA_black,422
b2897905-63fc-4367-abc9-e3efa466f7b4,NM_orange,653
ac784392-6a9b-46b5-8cf3-cab77961df35,NY_orange,752
cd8e58b0-9e7b-46a5-9f2c-593f69ec8e01,AL_brown,818
3b0c2f16-c515-4628-8ba4-4c2fe2f9873d,RI_green,593
55a7dc2d-dc16-482a-a847-63bbbf388dc1,UT_purple,867
b0a2fd3f-d7ed-42e6-9f87-b36943dacca7,SC_blue,279
aa4e5fe8-615b-4fea-9e18-22afc80792a3,UT_purple,567
8919def5-9fd8-44ea-8bb5-618d8683ad2a,SC_white,496
228eda98-3b8a-4f30-b246-344716227b8c,SC_purple,128
5df3ea8e-e293-4d81-adc5-1d78bf6e88d5,FL_red,712
2c379fe8-9bf0-4a30-9288-fab18d4f4ec5,ID_blue,902
bbe4a888-e32c-4101-a2dc-d091d56a4489,NE_pink,227
fa7042ca-b388-439d-9033-53895890e6a6,WV_orange,830
466b1c9c-79e9-4e4c-b005-09aeb8f27322,NJ_blue,450
147f58a7-6882-48a3-b1fb-b4b6f5852319,WY_white,338
25a7082f-f31f-438b-ba15-eeee3dc0312b,SD_purple,226
d995074c-215e-4aee-8afb-ad224c18256c,SC_pink,246
b20fb74f-703e-44a7-9e64-0fca65351015,CO_red,409
698e4449-0361-469d-9b75-5500b7239ec3,MT_green,782
5bb14341-a371-4c37-90ab-9133f6a682a4,DC_purple,917
62924444-2720-41c6-83ba-9caf811b8be8,IN_orange,426
03b6f952-7730-485e-83e1-3a6b344186b3,TX_orange,142
b1e32971-1057-40ea-8259-816a211b0e49,SD_red,794
a34540d4-08bd-46c4-a753-5a13cf403bdc,NJ_brown,500
369c32a2-a147-4cd0-9aba-ae6d1107021c,MO_pink,584
70921ade-c4d8-4b53-9986-c36fc794bec8,MT_white,213
902301e9-b119-4579-a705-eef10ac79990,TN_white,496
b42cb1bf-875c-4236-bbd1-5dc013c3434f,HI_red,635
666117e9-b8f2-485d-a6ba-4377f5990c19,OK_green,826
4d1e3838-5f73-42f8-b4a0-c7d67e94dd5a,CA_blue,436
d4202a2e-417c-4af2-ab72-d12c2fa49488,NM_black,754
1143073a-d0b9-4981-8977-9f803fdcdbcd,AK_green,849
4ba1637d-32ef-450f-aded-ee050f2f0ab4,MN_brown,985
0ed77289-6abf-48ea-90f7-07cfcdf79cf4,SD_red,456
cdd70863-7ada-4341-8dc8-f6b4178c796a,OR_green,707
050256d1-3f47-484e-bbf2-8de4d6e90a89,IA_brown,49
7e7e746c-19ec-4362-950b-3c92834eef42,KS_white,150
e044ac08-ed9e-40c7-a372-9014771eb692,NM_purple,662
e095a1d6-4d7d-49f3-81dc-a9b954f3d3bd,MS_blue,970
e5d3181e-7d79-49b5-ad13-1b834f549530,MI_orange,441
d45c45ca-8440-4cea-983e-63b47b7634ed,MI_blue,962
8a5876cb-afd9-455e-a078-4b1c0349099d,SC_black,303
e4ce84c3-25de-4609-a8e9-4da2e9a9ad29,DE_orange,781
1a3641c0-02a6-4e83-9f26-cdc4a58d7c7b,TN_orange,206
63543ccc-7f9e-4ab4-bee9-17f1ce60db0a,TX_orange,300
a21aa0e5-cea5-4286-b81e-eeb513c22465,IN_red,871
043c16e1-e06e-4211-894d-c8114a9d2062,RI_brown,253
17b2487e-c931-4065-958f-e30ec55e1dce,WI_red,754
e850a2fa-c954-486d-81ce-4a610b3039d1,GA_blue,994
dac66c05-93f9-444d-8107-4b1ecac405d9,WA_white,470
23e66881-0bed-4308-9256-46b4f3402424,KS_brown,618
005c5f1a-fda4-48f3-85b3-a3a0976df8ee,NC_white,626
588b7525-5d0f-4376-af0c-b79d6e09f4d7,NV_pink,761
3784269d-f9b2-4e36-8c24-4e7e8aeb7c24,VT_purple,528
c0f7040d-004d-4a0f-ac10-dc8530cb767a,IN_purple,443
dda5d0fb-248c-45b4-b2a2-d5701f312daf,AZ_blue,726
4c5f1433-0e86-48a2-8820-5d1d04aa4f3a,AR_red,810
14ab5cba-25e0-4682-a21f-1663d1196d7f,NJ_white,91
cec2e464-5910-49e6-b221-e3ab9bf52eab,WY_black,838
59a8ad25-6db7-4679-bb10-493ee7a79151,SD_purple,369
f7f19990-32ec-41f7-93c2-510897cb3a9d,TN_blue,378
92232e35-b0e3-4697-8e55-a45979a3e059,WI_black,88
f0d0835e-b97c-4f72-bee5-e1f49828d1e7,AK_pink,266
42be7696-5823-4486-a15b-d055004926e0,RI_orange,285
6415ac6f-f5f4-419c-b983-2cf421ae7b44,ME_orange,533
93d2c002-d6ce-425f-9bfd-b084ed911efe,IA_purple,570
186267d6-c05e-4793-a55e-d55ef6ef5713,TN_purple,777
f8e13e56-a316-4e16-a5cb-ba42e0d303ff,VT_black,941
cea90708-05ba-4b86-a96c-df9ff9a6803a,WI_brown,259
9eb47281-ef7a-45ca-90cc-5cb778a7df5d,OR_white,587
22272dbe-3e48-45a3-b306-bbb51f09141a,LA_blue,193
1033a5c5-1f63-4955-aa11-9cb8d309fcbc,GA_white,909
0d946230-6634-443b-9d34-72b14f81874f,AZ_green,168
1561a59a-6244-4400-bd95-ba9fab4a339a,MS_purple,588
e96d531c-a23d-48c6-917e-8c47af332524,MT_green,775
54506650-d181-4784-92dc-d8f9b704285d,DC_green,473
8a986aa6-873d-4d7b-afa0-283da7ce193c,NH_blue,751
de6506dc-ea22-4a68-883e-4dc97717fb48,MA_red,793
69f23fbe-4a07-46b4-84e0-30bc38b562eb,SD_purple,386
a1b9d992-fd3e-436e-a376-033f02249f1b,VA_purple,938
d3379f10-79fc-4abc-a83a-66f10e13a56c,MA_brown,574
6294c701-952f-4284-9dcc-28262077bc52,CO_white,344
274400bb-8049-4c55-acd5-cc665fbdc7af,GA_black,249
8bc580e1-2e9f-4645-b960-1c15a2fe0178,SD_brown,360
5e9e11c2-5289-4484-8cb0-5626f8858d45,LA_white,293
32490726-9fda-40c0-9cc9-ed0de4b4199e,NH_blue,612
84783243-66d4-4bf2-a66d-8e877f97bd96,WY_blue,33
8e91fadb-4dc5-49d8-88be-29c48a2af753,AL_green,690
03230155-6178-4d7b-8a53-4484cc93b485,MO_brown,462
7cbe31b5-acd7-4a06-bab1-7680420e869c,MN_white,357
df3b6b4a-d6e5-4ed4-93db-13394ac1a729,KS_red,473
7db755d4-6c93-41cb-b810-d9f44965ae62,AL_white,825
703b380a-a3fb-4292-9544-82d395c54f88,ND_pink,383
d2a9e3fb-fad8-4399-a5f0-ee5b744529db,IL_black,346
c3a35561-f622-403a-b0ba-c7e9b037f5c6,TX_green,71
91701fbe-ef45-4e73-86ce-629998f7d7b9,RI_orange,828
5a637a60-78ab-42d1-9c41-25deead4fb43,IA_red,574
e0c6f817-43e4-440b-a4e9-69ef6e6cab5d,MI_orange,390
ef4066d0-7f60-43e7-a338-ad0ae8095efb,MA_black,372
1b90ee44-f7d3-4602-b65c-11cfd12a0fbd,MT_green,631
7c8e4c60-4bc2-4d73-84df-447b592852d7,RI_white,164
d126f459-679a-4454-af75-a06ad760098d,OR_green,47
7edd6d82-090e-4525-80c1-005e8dbe427a,AK_orange,925
4d68e9e0-f63b-48d3-9585-de9d467b5ede,WY_red,94
ca5a7505-a7a8-480f-a8ff-069b275729ae,MI_purple,577
c8ac799d-7fae-4fc9-9f80-dd5dff61155f,IL_white,612
f6218679-f044-459c-a95f-c59fc847b187,MN_blue,981
e48e269d-4669-44c5-b270-b68711f8234f,TX_blue,802
77043b8c-6cf7-420a-aa97-158be9f06a38,NV_white,503
3031fa2d-48db-4648-b94d-d699ec9fdce8,AZ_brown,843
